iter	Passed	Remaining
463	770	889
464	771	887
465	772	885
466	773	883
467	775	881
468	776	879
469	778	877
470	779	875
471	781	873
472	782	871
473	783	869
474	784	867
475	786	865
476	787	863
477	788	861
478	789	859
479	791	857
480	794	857
481	795	855
482	797	853
483	798	851
484	799	848
485	800	846
486	801	844
487	802	842
488	803	839
489	804	837
490	806	835
491	807	833
492	809	832
493	810	830
494	811	828
495	812	825
496	813	823
497	814	821
498	815	818
499	816	816
500	817	814
501	819	812
502	820	810
503	821	808
504	822	805
505	824	805
506	826	803
507	827	801
508	828	799
509	829	797
510	831	795
511	832	793
512	833	791
513	834	789
514	835	787
515	836	784
516	838	783
517	840	781
518	841	779
519	842	777
520	843	775
521	844	773
522	845	771
523	846	769
524	848	767
525	849	765
526	850	763
527	851	761
528	854	760
529	855	758
530	856	756
531	858	754
532	859	753
533	860	751
534	862	749
535	863	747
536	864	745
537	866	743
538	867	741
539	870	741
540	871	739
541	872	737
542	874	735
543	875	733
544	876	732
545	878	730
546	879	728
547	880	726
548	882	724
549	884	723
550	886	722
551	887	720
552	888	718
553	889	716
554	891	714
555	892	712
556	893	710
557	894	708
558	896	706
559	897	705
560	899	703
561	901	702
562	902	700
563	903	698
564	905	696
565	906	695
566	908	693
567	909	691
568	910	689
569	912	688
570	913	686
571	915	685
572	917	683
573	918	681
574	920	680
575	921	678
576	923	676
577	924	675
578	925	673
579	927	671
580	929	670
581	931	668
582	932	666
583	933	665
584	935	663
585	937	662
586	938	660
587	939	658
588	940	656
589	942	654
590	943	652
591	946	652
592	947	650
593	949	648
594	950	647
595	952	645
596	953	643
597	954	641
598	955	639
599	957	638
600	958	636
601	960	635
602	962	633
603	964	632
604	965	630
605	967	628
606	969	627
607	970	625
608	971	624
609	973	622
610	975	620
611	977	620
612	980	618
613	981	617
614	983	615
615	984	613
616	985	611
617	986	609
618	987	608
619	990	606
620	992	605
621	993	603
622	994	601
623	995	600
624	997	598
625	998	596
626	999	594
627	1001	593
628	1002	591
629	1006	591
630	1007	589
631	1009	587
632	1010	585
633	1011	584
634	1012	582
635	1013	580
636	1015	578
637	1016	576
638	1017	574
639	1018	572
640	1021	571
641	1022	570
642	1023	568
643	1025	566
644	1026	564
645	1027	562
646	1028	561
647	1029	559
648	1030	557
649	1031	555
650	1032	553
651	1033	551
652	1036	550
653	1037	548
654	1038	546
655	1039	545
656	1040	543
657	1041	541
658	1042	539
659	1043	537
660	1044	535
661	1045	534
662	1047	532
663	1048	530
664	1050	529
665	1051	527
666	1052	525
667	1053	523
668	1054	521
669	1056	520
670	1057	518
671	1058	516
672	1059	514
673	1060	512
674	1061	511
675	1062	509
676	1064	507
677	1065	506
678	1066	504
679	1068	502
680	1069	500
681	1070	499
682	1071	497
683	1072	495
684	1074	493
685	1075	492
686	1076	490
687	1077	488
688	1079	487
689	1080	485
690	1081	483
691	1082	481
692	1084	480
693	1085	478
694	1086	476
695	1087	475
696	1088	473
697	1089	471
698	1090	469
699	1092	468
700	1093	466
701	1095	465
702	1097	463
703	1098	461
704	1099	460
705	1100	458
706	1101	456
707	1102	454
708	1103	453
709	1105	451
710	1106	449
711	1107	448
712	1109	446
713	1111	445
714	1112	443
715	1113	441
716	1115	440
717	1116	438
718	1117	436
719	1118	435
720	1119	433
721	1121	431
722	1122	429
723	1123	428
724	1125	426
725	1126	425
726	1127	423
727	1129	421
728	1130	420
729	1131	418
730	1132	416
731	1133	415
732	1134	413
733	1136	411
734	1137	409
735	1138	408
736	1140	406
737	1141	405
738	1142	403
739	1143	401
740	1144	400
741	1145	398
742	1146	396
743	1148	395
744	1149	393
745	1150	391
746	1152	390
747	1153	388
748	1155	387
749	1156	385
750	1157	383
751	1159	382
752	1160	380
753	1161	378
754	1162	377
755	1163	375
756	1164	373
757	1166	372
758	1167	370
759	1168	368
760	1170	367
761	1171	365
762	1172	364
763	1173	362
764	1174	360
765	1175	359
766	1176	357
767	1177	355
768	1178	354
769	1179	352
770	1180	350
771	1181	348
772	1182	347
